230316, 과일과채류, 딸기, 장희,1,0,220,,
230316, 과일과채류, 딸기, 설향,1,0,720,,
230316, 과일과채류, 토마토, 토마토,1,0,160,,
230316, 과일과채류, 토마토, 토마토,1,0,300,,
230316, 과일과채류, 딸기, 설향,1,0,425,,
230316, 과일과채류, 참외, 금싸라기,1,0,800,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,184,,
230316, 산채류, 취나물, 기타취나물,1,0,720,,
230316, 과일과채류, 딸기, 장희,1,0,300,,
230316, 엽경채류, 상추, 청상추,1,0,150,,
230316, 엽경채류, 상추, 적상추,1,0,150,,
230316, 서류, 고구마, 기타,1,0,70,,
230316, 과일과채류, 딸기, 설향,1,0,460,,
230316, 엽경채류, 상추, 적상추,1,0,175,,
230316, 과실류, 사과, 후지,1,0,200,,
230316, 과일과채류, 딸기, 설향,1,0,550,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,360,,
230316, 엽경채류, 부추, 일반부추,1,0,420,,
230316, 과일과채류, 딸기, 장희,1,0,280,,
230316, 과일과채류, 참외, 기타참외,1,0,868,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,360,,
230316, 엽경채류, 시금치, 시금치,1,0,52.5,,
230316, 과실류, 사과, 후지,1,0,280,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,750,,
230316, 과일과채류, 딸기, 설향,1,0,625,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,360,,
230316, 과일과채류, 딸기, 설향,1,0,860,,
230316, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,145,,
230316, 과실류, 감귤, 천혜향,1,0,453.33334,,
230316, 과일과채류, 토마토, 토마토,1,0,460,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,204,,
230316, 과일과채류, 딸기, 장희,1,0,460,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 엽경채류, 상추, 적상추,1,0,175,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과실류, 사과, 후지,1,0,212,,
230316, 서류, 고구마, 기타,1,0,70,,
230316, 과일과채류, 참외, 금싸라기,1,0,820,,
230316, 과일과채류, 딸기, 죽향,1,0,500,,
230316, 엽경채류, 상추, 적상추,1,0,125,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 딸기, 죽향,1,0,950,,
230316, 과일과채류, 딸기, 죽향,1,0,500,,
230316, 과일과채류, 토마토, 토마토,1,0,300,,
230316, 과일과채류, 딸기, 설향,1,0,725,,
230316, 과일과채류, 딸기, 설향,1,0,700,,
230316, 엽경채류, 깻잎, 깻잎,1,0,675,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,780,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 참외, 참외,1,0,850,,
230316, 과일과채류, 딸기, 장희,1,0,1333.3334,,
230316, 과실류, 포도, 샤인마스캇,1,0,550,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,566.6667,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,366.66666,,
230316, 과일과채류, 딸기, 장희,1,0,666.6667,,
230316, 엽경채류, 미나리, 미나리,1,0,470,,
230316, 과실류, 포도, 샤인마스캇,1,0,750,,
230316, 과일과채류, 토마토, 대저토마토,1,0,180,,
230316, 과일과채류, 참외, 참외,1,0,900,,
230316, 과일과채류, 참외, 기타참외,1,0,900,,
230316, 엽경채류, 상추, 적상추,1,0,125,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 산채류, 도라지, 도라지,1,0,160,,
230316, 과일과채류, 딸기, 설향,1,0,940,,
230316, 과실류, 사과, 후지,1,0,336,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 수박, 수박,1,0,333.33334,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,236,,
230316, 과실류, 사과, 후지,1,0,223,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,433.33334,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,566.6667,,
