deal_date,large,medium,소,origin,income,가격
20230316,소,안심,1등급,korea,12143,12143,12143
20230316,소,등심,1++등급,korea,13181,13181,13181
20230316,소,등심,1+등급,korea,10533,10533,10533
20230316,소,등심,1등급,korea,9230,9230,9230
20230316,소,설도,1++등급,korea,4752,4752,4752
20230316,소,설도,1+등급,korea,4240,4240,4240
20230316,소,설도,1등급,korea,4033,4033,4033
20230316,소,양지,1++등급,korea,6355,6355,6355
20230316,소,양지,1+등급,korea,5569,5569,5569
20230316,소,양지,1등급,korea,5415,5415,5415
20230316,소,갈비,1++등급,korea,8660,8660,8660
20230316,소,갈비,1+등급,korea,7266,7266,7266
20230316,소,갈비,1등급,korea,6808,6808,6808
20230316,돼지,앞다리,앞다리,korea,1261,1261,1261
20230316,돼지,삼겹살,삼겹살,korea,2245,2245,2245
20230316,돼지,갈비,갈비,korea,1310,1310,1310
20230316,돼지,목심,목심,korea,2052,2052,2052
20230316,수입 소고기,갈비,미국산,income,3759,3759,3759
20230316,수입 소고기,갈비,호주산,income,4069,4069,4069
20230316,수입 소고기,갈비살,미국산,income,4329,4329,4329
20230316,수입 돼지고기,삼겹살,삼겹살,income,1470,1470,1470
20230316,닭,육계(kg),육계(kg),korea,6023,6023,6023
20230316,계란,특란10구,일반란,korea,3779,3779,3779
20230316,계란,특란30구,일반란,korea,6028,6028,6028
20230316,우유,흰우유,흰우유,korea,2883,2883,2883
20230317,소,안심,1++등급,korea,14846,14846,14846
20230317,소,안심,1+등급,korea,13198,13198,13198
20230317,소,안심,1등급,korea,12140,12140,12140
20230317,소,등심,1++등급,korea,13188,13188,13188
20230317,소,등심,1+등급,korea,10515,10515,10515
20230317,소,등심,1등급,korea,9230,9230,9230
20230317,소,설도,1++등급,korea,4763,4763,4763
20230317,소,설도,1+등급,korea,4246,4246,4246
20230317,소,설도,1등급,korea,4025,4025,4025
20230317,소,양지,1++등급,korea,6353,6353,6353
20230317,소,양지,1+등급,korea,5565,5565,5565
20230317,소,양지,1등급,korea,5414,5414,5414
20230317,소,갈비,1++등급,korea,8567,8567,8567
20230317,소,갈비,1+등급,korea,7312,7312,7312
20230317,소,갈비,1등급,korea,6803,6803,6803
20230317,돼지,앞다리,앞다리,korea,1261,1261,1261
20230317,돼지,삼겹살,삼겹살,korea,2247,2247,2247
20230317,돼지,갈비,갈비,korea,1307,1307,1307
20230317,돼지,목심,목심,korea,2049,2049,2049
20230317,수입 소고기,갈비,미국산,income,3753,3753,3753
20230317,수입 소고기,갈비,호주산,income,4069,4069,4069
20230317,수입 소고기,갈비살,미국산,income,4329,4329,4329
20230317,수입 돼지고기,삼겹살,삼겹살,income,1469,1469,1469
20230317,닭,육계(kg),육계(kg),korea,6031,6031,6031
20230317,계란,특란10구,일반란,korea,3739,3739,3739
20230317,계란,특란30구,일반란,korea,6028,6028,6028
20230317,우유,흰우유,흰우유,korea,2883,2883,2883
20230318,소,안심,1++등급,korea,14833,14833,14833
20230318,소,안심,1+등급,korea,13182,13182,13182
20230318,소,안심,1등급,korea,12118,12118,12118
20230318,소,등심,1++등급,korea,13186,13186,13186
20230318,소,등심,1+등급,korea,10520,10520,10520
20230318,소,등심,1등급,korea,9230,9230,9230
20230318,소,설도,1++등급,korea,4763,4763,4763
20230318,소,설도,1+등급,korea,4225,4225,4225
20230318,소,설도,1등급,korea,4025,4025,4025
20230318,소,양지,1++등급,korea,6360,6360,6360
20230318,소,양지,1+등급,korea,5563,5563,5563
20230318,소,양지,1등급,korea,5414,5414,5414
20230318,소,갈비,1++등급,korea,8625,8625,8625
20230318,소,갈비,1+등급,korea,7304,7304,7304
20230318,소,갈비,1등급,korea,6821,6821,6821
20230318,돼지,앞다리,앞다리,korea,1261,1261,1261
20230318,돼지,삼겹살,삼겹살,korea,2249,2249,2249
20230318,돼지,갈비,갈비,korea,1305,1305,1305
20230318,돼지,목심,목심,korea,2051,2051,2051
20230318,수입 소고기,갈비,미국산,income,3753,3753,3753
20230318,수입 소고기,갈비,호주산,income,4069,4069,4069
20230318,수입 소고기,갈비살,미국산,income,4329,4329,4329
20230318,수입 돼지고기,삼겹살,삼겹살,income,1471,1471,1471
20230318,닭,육계(kg),육계(kg),korea,6030,6030,6030
20230318,계란,특란10구,일반란,korea,3720,3720,3720
20230318,계란,특란30구,일반란,korea,6028,6028,6028
20230318,우유,흰우유,흰우유,korea,2883,2883,2883
20230319,소,안심,1++등급,korea,14837,14837,14837
20230319,소,안심,1+등급,korea,13190,13190,13190
20230319,소,안심,1등급,korea,12114,12114,12114
20230319,소,등심,1++등급,korea,13189,13189,13189
20230319,소,등심,1+등급,korea,10493,10493,10493
20230319,소,등심,1등급,korea,9230,9230,9230
20230319,소,설도,1++등급,korea,4763,4763,4763
20230319,소,설도,1+등급,korea,4224,4224,4224
20230319,소,설도,1등급,korea,4029,4029,4029
20230319,소,양지,1++등급,korea,6358,6358,6358
